condition_id,repeat_index,iteration,winner_score,winner_aesthetic,winner_novelty,distinct_commands,nesting_depth,color_changes,code_length,spatial_entropy,fill_ratio,symmetry_score,num_variants_generated,num_variants_valid,model_used,modifier_latency_ms,critic_latency_ms
s1__t1__gpt_5_4_mini__m5v2di,1,13,12,9,6,8,0,3,164,1.5976,0.2402,0.8176,3,3,gpt-5.4-mini,1718,1955
s1__t1__gpt_5_4_mini__m5v2di,1,14,10,8,4,9,0,3,175,1.5911,0.2392,0.8079,3,3,gpt-5.4-mini,1625,2071
s1__t1__gpt_5_4_mini__m5v2di,1,15,9.5,8,3,9,0,3,186,1.6753,0.2621,0.8081,3,3,gpt-5.4-mini,1575,2258
s1__t1__gpt_5_4_mini__m5v2di,2,1,8,8,0,2,0,0,25,2.224,0.2273,0.994,3,3,gpt-5.4-mini,1541,1937
s1__t1__gpt_5_4_mini__m5v2di,2,2,9,9,0,2,0,0,25,2.224,0.2273,0.994,3,3,gpt-5.4-mini,1109,2849
s1__t1__gpt_5_4_mini__m5v2di,2,3,9,9,0,2,0,0,25,2.224,0.2273,0.994,3,3,gpt-5.4-mini,1098,1768
s1__t1__gpt_5_4_mini__m5v2di,2,4,13,9,8,4,1,1,60,2.1668,0.5217,0.9773,3,3,gpt-5.4-mini,1112,2354
s1__t1__gpt_5_4_mini__m5v2di,2,5,10.5,8,5,4,1,2,120,2.3884,0.5224,0.9787,3,3,gpt-5.4-mini,1221,2321
s1__t1__gpt_5_4_mini__m5v2di,2,6,11.5,9,5,8,1,3,196,2.5343,0.5224,0.9765,3,3,gpt-5.4-mini,2961,2256
s1__t1__gpt_5_4_mini__m5v2di,2,7,8,8,0,8,1,3,196,2.5343,0.5224,0.9765,3,3,gpt-5.4-mini,2043,2132
s1__t1__gpt_5_4_mini__m5v2di,2,8,11.5,9,5,10,1,4,291,2.4544,0.5231,0.9678,3,3,gpt-5.4-mini,3411,2322
s1__t1__gpt_5_4_mini__m5v2di,2,9,10.5,7,7,10,1,5,371,2.5082,0.5244,0.9607,3,3,gpt-5.4-mini,2541,2614
s1__t1__gpt_5_4_mini__m5v2di,2,10,8.5,8,1,10,1,6,450,2.5103,0.5244,0.96,3,3,gpt-5.4-mini,3067,3687
s1__t1__gpt_5_4_mini__m5v2di,2,11,10.5,9,3,10,1,7,539,2.5206,0.5254,0.9658,3,3,gpt-5.4-mini,3078,2518
s1__t1__gpt_5_4_mini__m5v2di,2,12,8,8,0,10,1,7,539,2.5206,0.5254,0.9658,3,3,gpt-5.4-mini,3023,2283
s1__t1__gpt_5_4_mini__m5v2di,2,13,11.5,9,5,10,1,7,540,2.4993,0.5286,0.9497,3,3,gpt-5.4-mini,3326,2243
s1__t1__gpt_5_4_mini__m5v2di,2,14,7.5,7,1,10,1,7,540,2.5379,0.5331,0.9485,3,3,gpt-5.4-mini,3258,2496
s1__t1__gpt_5_4_mini__m5v2di,2,15,9,8,2,10,1,7,540,2.5162,0.5256,0.9635,3,3,gpt-5.4-mini,3031,2120
s1__t2__gpt_5_4_mini__m5v2db,0,1,9.5,6,7,6,0,1,64,2.264,0.2717,0.8494,3,3,gpt-5.4-mini,1245,2281
s1__t2__gpt_5_4_mini__m5v2db,0,2,10,7,6,6,0,1,63,2.519,0.2786,0.8623,3,3,gpt-5.4-mini,1055,1925
s1__t2__gpt_5_4_mini__m5v2db,0,3,8,5,6,6,0,1,63,2.2212,0.2414,0.8386,3,3,gpt-5.4-mini,1580,2151
s1__t2__gpt_5_4_mini__m5v2db,0,4,9.5,6,7,6,0,1,63,2.6674,0.4243,0.8306,3,3,gpt-5.4-mini,1050,2223
s1__t2__gpt_5_4_mini__m5v2db,0,5,8.5,6,5,6,0,1,116,2.2026,0.2481,0.8054,3,3,gpt-5.4-mini,1413,2008
s1__t2__gpt_5_4_mini__m5v2db,0,6,7.5,5,5,6,0,1,116,1.9151,0.1913,0.8435,3,3,gpt-5.4-mini,1464,2203
s1__t2__gpt_5_4_mini__m5v2db,0,7,12,8,8,7,0,1,119,0.8442,0.0075,0.9946,3,3,gpt-5.4-mini,1572,2337
s1__t2__gpt_5_4_mini__m5v2db,0,8,7.5,7,1,7,0,1,131,0.7947,0.0074,0.9948,3,3,gpt-5.4-mini,1447,2075
s1__t2__gpt_5_4_mini__m5v2db,0,9,11.5,8,7,7,0,2,264,1.0713,0.0111,0.9956,3,3,gpt-5.4-mini,2266,2485
s1__t2__gpt_5_4_mini__m5v2db,0,10,10.5,8,5,7,0,3,399,1.277,0.015,0.9945,3,3,gpt-5.4-mini,4138,2536
s1__t2__gpt_5_4_mini__m5v2db,0,11,8,6,4,7,0,4,580,1.2424,0.0167,0.9936,3,3,gpt-5.4-mini,3674,2370
s1__t2__gpt_5_4_mini__m5v2db,0,12,9.5,8,3,7,0,5,764,1.245,0.0161,0.994,3,3,gpt-5.4-mini,4647,2367
s1__t2__gpt_5_4_mini__m5v2db,0,13,9.5,7,5,7,0,6,955,1.2373,0.0176,0.9932,3,3,gpt-5.4-mini,5480,2195
s1__t2__gpt_5_4_mini__m5v2db,0,14,7,7,0,7,0,6,955,1.2373,0.0176,0.9932,3,3,gpt-5.4-mini,5987,2178
s1__t2__gpt_5_4_mini__m5v2db,0,15,9.5,7,5,7,0,6,953,1.2704,0.0163,0.994,3,3,gpt-5.4-mini,5761,2256
s1__t2__gpt_5_4_mini__m5v2db,1,1,6.5,4,5,2,0,0,25,2.2876,0.2265,0.9264,3,3,gpt-5.4-mini,1189,2119
s1__t2__gpt_5_4_mini__m5v2db,1,2,5,3,4,4,0,0,35,2.3014,0.2281,0.7863,3,3,gpt-5.4-mini,1056,3245
s1__t2__gpt_5_4_mini__m5v2db,1,3,11.5,8,7,3,0,0,31,1.264,0.0262,0.9983,3,3,gpt-5.4-mini,1948,2562
s1__t2__gpt_5_4_mini__m5v2db,1,4,3.5,3,1,3,0,0,34,1.3523,0.0234,0.9986,3,3,gpt-5.4-mini,1002,2115
s1__t2__gpt_5_4_mini__m5v2db,1,5,11.5,8,7,3,0,0,54,1.3454,0.0232,0.9722,3,3,gpt-5.4-mini,1146,1831
s1__t2__gpt_5_4_mini__m5v2db,1,6,12,9,6,3,0,0,101,1.4932,0.0486,0.9365,3,3,gpt-5.4-mini,1563,2282
s1__t2__gpt_5_4_mini__m5v2db,1,7,8,8,0,3,0,0,101,1.4932,0.0486,0.9365,3,3,gpt-5.4-mini,2006,2202
s1__t2__gpt_5_4_mini__m5v2db,1,8,10.5,7,7,3,0,0,121,1.0689,0.0324,0.9753,3,3,gpt-5.4-mini,1358,2301
s1__t2__gpt_5_4_mini__m5v2db,1,9,8,7,2,3,0,0,123,1.0689,0.0338,0.9748,3,3,gpt-5.4-mini,1183,2177
s1__t2__gpt_5_4_mini__m5v2db,1,10,11,8,6,3,0,0,121,1.2718,0.0637,0.9806,3,3,gpt-5.4-mini,1301,2500
s1__t2__gpt_5_4_mini__m5v2db,1,11,6.5,6,1,3,0,0,121,1.3622,0.0736,0.9812,3,3,gpt-5.4-mini,1386,2349
s1__t2__gpt_5_4_mini__m5v2db,1,12,7.5,7,1,3,0,0,124,1.3548,0.0685,0.9814,3,3,gpt-5.4-mini,1349,1977
s1__t2__gpt_5_4_mini__m5v2db,1,13,7,6,2,3,0,0,124,1.4133,0.0821,0.9785,3,3,gpt-5.4-mini,1409,2295
s1__t2__gpt_5_4_mini__m5v2db,1,14,9,8,2,3,0,0,123,1.4099,0.0953,0.982,3,3,gpt-5.4-mini,1294,2115
s1__t2__gpt_5_4_mini__m5v2db,1,15,5,4,2,3,0,0,124,1.4207,0.099,0.9814,3,3,gpt-5.4-mini,1309,2304
s1__t2__gpt_5_4_mini__m5v2db,2,1,10.5,7,7,2,0,0,25,2.361,0.2535,0.9671,3,3,gpt-5.4-mini,945,2194
s1__t2__gpt_5_4_mini__m5v2db,2,2,5.5,3,5,2,0,0,24,2.1746,0.1718,0.9946,3,3,gpt-5.4-mini,783,2739
s1__t2__gpt_5_4_mini__m5v2db,2,3,11.5,8,7,2,0,0,24,1.7016,0.6189,0.9976,3,3,gpt-5.4-mini,902,1863
s1__t2__gpt_5_4_mini__m5v2db,2,4,9.5,6,7,5,0,1,71,1.8451,0.5943,0.9145,3,3,gpt-5.4-mini,1014,2270
