condition_id,repeat_index,iteration,winner_score,winner_aesthetic,winner_novelty,winner_parsimony,score_drop_warning,distinct_commands,nesting_depth,color_changes,code_length,spatial_entropy,fill_ratio,symmetry_score,num_variants_generated,num_variants_valid,model_used,modifier_latency_ms,critic_latency_ms
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2rb,0,12,19.4,8,7,8.8,0,6,1,2,126,0,0,1,3,3,gemini-2.5-flash-preview-09-2025,16858,2875
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2rb,0,13,19.9,9,8,5.8,0,7,2,4,404,1.965,0.4899,0.9035,3,3,gemini-2.5-flash-preview-09-2025,16038,3148
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2rb,0,14,20.8,8,9,7.6,0,8,1,3,197,2.1756,0.3017,0.9978,2,2,gemini-2.5-flash-preview-09-2025,48344,2322
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2rb,0,15,17.6,8,7,5.2,0,10,1,3,303,2.0482,0.2546,0.8647,3,3,gemini-2.5-flash-preview-09-2025,11228,3173
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2rb,1,1,21.5,8,9,9,0,5,1,2,78,2.2668,0.3733,0.908,3,3,gemini-2.5-flash-preview-09-2025,25218,3371
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2rb,1,2,10.5,6,0,9,1,5,1,2,78,2.2668,0.3733,0.908,3,3,gemini-2.5-flash-preview-09-2025,5521,6008
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2rb,1,3,10.5,6,0,9,0,5,1,2,78,2.2668,0.3733,0.908,3,3,gemini-2.5-flash-preview-09-2025,12980,2572
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2rb,1,4,20.3,8,8,8.6,0,5,2,2,124,1.6942,0.1988,0.8849,3,3,gemini-2.5-flash-preview-09-2025,14951,3050
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2rb,1,5,17.3,6,7,8.6,0,5,2,2,137,1.9145,0.5187,0.8554,3,3,gemini-2.5-flash-preview-09-2025,25272,3211
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2rb,1,6,10.3,6,0,8.6,1,5,2,2,137,1.9145,0.5187,0.8554,3,3,gemini-2.5-flash-preview-09-2025,20967,3228
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2rb,1,7,20.3,8,8,8.6,0,5,2,2,151,1.7156,0.2937,0.8575,3,3,gemini-2.5-flash-preview-09-2025,15688,3233
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2rb,1,8,18.3,8,6,8.6,0,5,2,2,170,1.9515,0.4839,0.8952,3,3,gemini-2.5-flash-preview-09-2025,16044,3108
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2rb,1,9,17,6,7,8,0,7,2,2,181,2.3972,0.2348,0.9492,3,3,gemini-2.5-flash-preview-09-2025,18976,3248
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2rb,1,10,18.2,5,9,8.4,0,6,2,2,208,1.6178,0.2634,0.9264,3,3,gemini-2.5-flash-preview-09-2025,14992,3566
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2rb,1,11,20,9,7,8,0,7,2,2,195,1.7099,0.2016,0.924,3,3,gemini-2.5-flash-preview-09-2025,18559,4010
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2rb,1,12,17.8,8,6,7.6,0,8,2,2,262,1.9671,0.2812,0.8847,3,3,gemini-2.5-flash-preview-09-2025,17640,6713
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2rb,1,13,21.4,8,9,8.8,0,6,1,2,113,2.7388,0.5359,0.757,3,3,gemini-2.5-flash-preview-09-2025,13498,3404
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2rb,1,14,17,6,7,8,1,7,2,2,181,2.3972,0.2348,0.9492,2,2,gemini-2.5-flash-preview-09-2025,24677,6075
